                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                  1.828,                 1.0065,                0.96533,                0.90643,                0.78918,                0.84356,                0.42122,                 1.8215,                 1.0693,                 0.9567,               0.007459,               0.007459,               0.007459
                     79,                 1.7724,                0.99035,                0.96257,                0.93091,                0.78489,                0.86688,                0.43776,                 1.7785,                 1.0266,                0.94916,               0.007426,               0.007426,               0.007426
                     80,                 1.7317,                0.95116,                0.96855,                0.91856,                0.79764,                0.85633,                0.43239,                 1.8094,                  1.015,                 0.9544,               0.007393,               0.007393,               0.007393
                     81,                 1.7426,                0.94868,                0.95196,                0.89403,                0.81092,                0.86765,                0.43257,                 1.8039,                  0.993,                0.95074,                0.00736,                0.00736,                0.00736
                     82,                 1.7435,                 0.9499,                0.96025,                 0.9321,                0.80231,                0.87421,                0.44004,                 1.7715,                0.98323,                0.94914,               0.007327,               0.007327,               0.007327
                     83,                 1.7289,                0.90927,                0.96001,                0.86819,                 0.8253,                0.86272,                0.43418,                 1.7845,                 1.0083,                0.94549,               0.007294,               0.007294,               0.007294
                     84,                 1.7388,                0.94388,                0.94674,                0.90725,                0.82416,                0.86417,                0.43929,                 1.7886,                0.99362,                0.94918,               0.007261,               0.007261,               0.007261
                     85,                 1.7158,                0.92048,                0.95321,                0.90524,                 0.8251,                0.87571,                0.43203,                 1.8043,                0.98001,                0.95387,               0.007228,               0.007228,               0.007228
                     86,                  1.729,                0.92146,                0.94632,                0.89575,                0.81794,                0.85944,                0.42468,                 1.8081,                0.98697,                0.95147,               0.007195,               0.007195,               0.007195
                     87,                 1.7424,                0.94961,                0.95331,                0.92039,                0.80997,                0.86933,                0.45224,                 1.7483,                0.98968,                0.94074,               0.007162,               0.007162,               0.007162
                     88,                 1.7144,                0.90299,                0.94513,                0.92895,                0.82795,                0.88381,                0.44332,                 1.7267,                0.95693,                0.94011,               0.007129,               0.007129,               0.007129
                     89,                 1.6977,                0.87925,                0.93835,                0.91606,                0.82415,                0.87208,                0.45445,                  1.784,                 0.9552,                 0.9469,               0.007096,               0.007096,               0.007096
                     90,                 1.7217,                0.90362,                  0.952,                0.95539,                0.80884,                0.88104,                0.45119,                 1.7717,                0.99154,                 0.9487,               0.007063,               0.007063,               0.007063
                     91,                  1.659,                0.86631,                0.94332,                 0.9148,                0.83423,                0.87465,                0.44579,                 1.7393,                0.94926,                0.94057,                0.00703,                0.00703,                0.00703
                     92,                 1.7139,                0.89898,                0.94177,                0.90459,                0.82484,                0.87003,                0.42805,                 1.8159,                0.97307,                0.95217,               0.006997,               0.006997,               0.006997
                     93,                 1.7421,                0.90785,                0.95531,                0.93061,                 0.8118,                0.87758,                0.43641,                 1.7654,                0.98349,                0.94606,               0.006964,               0.006964,               0.006964
                     94,                 1.6604,                0.89692,                0.94018,                 0.9318,                0.81224,                0.86964,                0.44678,                  1.748,                0.94679,                0.94273,               0.006931,               0.006931,               0.006931
                     95,                  1.705,                0.89289,                0.94046,                0.90895,                0.84328,                0.88086,                0.45004,                 1.7528,                0.96267,                0.94099,               0.006898,               0.006898,               0.006898
                     96,                 1.6898,                0.87903,                0.95002,                0.90851,                0.84008,                0.88838,                0.46595,                 1.7387,                0.94658,                0.93784,               0.006865,               0.006865,               0.006865
                     97,                 1.6564,                0.86214,                0.95062,                0.92966,                0.83062,                0.88336,                0.45848,                 1.7585,                0.96232,                0.94388,               0.006832,               0.006832,               0.006832
                     98,                 1.6439,                0.86542,                 0.9327,                0.94445,                   0.83,                0.89061,                0.45509,                 1.7516,                 0.9381,                0.94075,               0.006799,               0.006799,               0.006799
                     99,                 1.6726,                0.86582,                0.94176,                0.91737,                0.82932,                0.87297,                0.45597,                 1.7516,                0.96866,                0.94257,               0.006766,               0.006766,               0.006766
                    100,                 1.6654,                0.88502,                 0.9528,                0.91492,                0.84599,                0.87571,                0.45336,                 1.7496,                0.93564,                0.93822,               0.006733,               0.006733,               0.006733
                    101,                 1.6659,                0.86188,                0.93381,                0.94988,                0.82764,                0.88634,                0.44889,                 1.7829,                0.93344,                0.94659,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.6412,                0.84486,                0.93268,                0.93033,                0.80685,                 0.8736,                0.45524,                 1.7334,                 0.9933,                0.93678,               0.006667,               0.006667,               0.006667
                    103,                 1.6366,                0.84551,                0.93671,                   0.91,                0.83415,                0.87609,                 0.4449,                 1.7724,                0.96539,                0.95043,               0.006634,               0.006634,               0.006634
                    104,                 1.6608,                0.85994,                0.93898,                 0.9326,                0.80766,                0.87083,                0.44029,                 1.7697,                0.94381,                0.94486,               0.006601,               0.006601,               0.006601
                    105,                 1.6405,                0.84595,                0.93029,                0.96463,                0.80935,                 0.8843,                0.45216,                 1.7191,                0.92089,                0.93387,               0.006568,               0.006568,               0.006568
                    106,                 1.6974,                0.88454,                0.94103,                0.90862,                0.83072,                0.87851,                0.42791,                 1.8178,                0.96953,                0.95403,               0.006535,               0.006535,               0.006535
                    107,                 1.6553,                0.84113,                0.94998,                0.94689,                0.82367,                0.88805,                0.45713,                 1.7506,                0.92409,                0.94007,               0.006502,               0.006502,               0.006502
                    108,                 1.6087,                0.81776,                0.92826,                0.91222,                0.81895,                0.88718,                0.47062,                  1.726,                0.95612,                0.93623,               0.006469,               0.006469,               0.006469
                    109,                 1.6474,                0.85198,                0.94836,                0.91887,                0.83555,                0.88109,                0.45109,                 1.7394,                0.93494,                0.93846,               0.006436,               0.006436,               0.006436
                    110,                 1.6238,                0.83768,                0.92199,                0.92423,                0.83882,                0.88685,                0.44677,                 1.7812,                0.92293,                0.94326,               0.006403,               0.006403,               0.006403
                    111,                 1.6514,                0.83853,                0.93752,                0.95035,                 0.8258,                0.89104,                0.46965,                 1.7421,                0.93593,                0.93647,                0.00637,                0.00637,                0.00637
                    112,                 1.6092,                0.84356,                0.93216,                0.96335,                0.81164,                0.88004,                0.43887,                 1.7705,                 0.9531,                0.94635,               0.006337,               0.006337,               0.006337
                    113,                 1.6331,                0.82634,                0.93586,                0.95019,                0.81456,                0.88106,                0.46451,                 1.7261,                0.95948,                0.93692,               0.006304,               0.006304,               0.006304
                    114,                 1.5882,                0.81166,                0.91939,                0.92303,                0.87218,                 0.8919,                0.45923,                 1.7197,                0.90577,                0.93662,               0.006271,               0.006271,               0.006271
                    115,                 1.5925,                0.81537,                0.92471,                0.93025,                0.84674,                0.89533,                0.46633,                 1.7104,                0.92241,                0.93006,               0.006238,               0.006238,               0.006238
                    116,                 1.5959,                0.81825,                0.92272,                0.92952,                0.84695,                0.88702,                  0.459,                 1.7244,                0.93797,                 0.9262,               0.006205,               0.006205,               0.006205
                    117,                 1.6524,                0.84648,                0.92978,                0.92124,                0.85991,                0.88736,                  0.464,                 1.7718,                0.92086,                0.93929,               0.006172,               0.006172,               0.006172
                    118,                 1.6068,                0.81253,                0.93069,                0.93468,                0.85038,                0.90316,                0.46173,                  1.715,                0.91737,                0.92847,               0.006139,               0.006139,               0.006139
                    119,                 1.6189,                0.83946,                 0.9359,                0.92831,                0.84782,                0.88951,                0.45589,                  1.734,                0.91514,                0.93298,               0.006106,               0.006106,               0.006106
                    120,                 1.6124,                 0.8054,                0.92523,                0.94351,                0.82243,                0.88866,                0.46233,                 1.6984,                0.91697,                0.92695,               0.006073,               0.006073,               0.006073
                    121,                 1.6038,                0.83574,                 0.9243,                0.94875,                0.85376,                0.89493,                0.45952,                 1.7467,                0.91698,                0.93697,                0.00604,                0.00604,                0.00604
                    122,                 1.5703,                0.80213,                0.92198,                 0.9217,                0.86025,                0.89452,                0.45515,                 1.7304,                0.91269,                0.93348,               0.006007,               0.006007,               0.006007
                    123,                 1.6149,                0.80941,                0.93874,                0.91557,                0.84466,                0.88526,                0.46694,                 1.7215,                0.94657,                0.93629,               0.005974,               0.005974,               0.005974
                    124,                 1.6136,                0.81783,                 0.9309,                0.91654,                0.82034,                0.86964,                0.43347,                 1.7612,                0.95588,                0.94055,               0.005941,               0.005941,               0.005941
                    125,                 1.5838,                0.81646,                0.92503,                0.92226,                0.85047,                0.89661,                0.46416,                 1.7206,                0.91007,                0.93046,               0.005908,               0.005908,               0.005908
                    126,                 1.5794,                0.81095,                0.92633,                0.95882,                0.84852,                0.88672,                0.46252,                 1.7102,                0.90767,                0.93157,               0.005875,               0.005875,               0.005875
                    127,                 1.5611,                0.79895,                0.92243,                0.92279,                0.85612,                0.89364,                0.46461,                 1.6995,                0.88818,                0.93262,               0.005842,               0.005842,               0.005842
                    128,                 1.5916,                0.80005,                0.91494,                0.94261,                0.85171,                0.89887,                0.48043,                 1.7142,                0.89403,                0.93338,               0.005809,               0.005809,               0.005809
                    129,                 1.5724,                0.79131,                0.92733,                0.95362,                0.85045,                0.90655,                0.47134,                 1.7094,                0.87611,                0.93384,               0.005776,               0.005776,               0.005776
                    130,                 1.5836,                0.78689,                0.92663,                0.93279,                0.86532,                0.89797,                0.44908,                 1.7412,                0.89624,                0.93721,               0.005743,               0.005743,               0.005743
                    131,                 1.5677,                0.77696,                0.92812,                 0.9358,                0.83986,                0.88905,                0.46048,                 1.7233,                0.88834,                0.93792,                0.00571,                0.00571,                0.00571
                    132,                 1.5303,                0.76483,                0.92048,                0.94719,                0.85009,                0.89881,                0.47545,                 1.7206,                0.88228,                0.93241,               0.005677,               0.005677,               0.005677
                    133,                 1.5413,                0.77666,                0.92202,                0.93703,                0.86786,                0.90195,                0.46636,                 1.7262,                0.87511,                0.93492,               0.005644,               0.005644,               0.005644
                    134,                 1.5572,                0.76961,                0.92224,                0.93074,                0.86916,                0.90403,                0.46767,                 1.7265,                0.87831,                0.93701,               0.005611,               0.005611,               0.005611
                    135,                 1.5774,                0.80775,                0.91797,                0.91917,                  0.867,                0.90457,                0.47663,                 1.7024,                0.85879,                0.92977,               0.005578,               0.005578,               0.005578
                    136,                 1.5111,                0.76147,                0.91278,                0.94699,                0.85828,                0.90293,                 0.4676,                 1.7436,                0.87967,                0.93449,               0.005545,               0.005545,               0.005545
                    137,                 1.5626,                0.78156,                0.91836,                0.94529,                0.86989,                0.90749,                0.48227,                 1.6998,                0.86665,                0.92568,               0.005512,               0.005512,               0.005512
                    138,                 1.5278,                0.76257,                0.91401,                0.95007,                0.85631,                0.89788,                0.47524,                 1.7243,                0.88898,                0.93212,               0.005479,               0.005479,               0.005479
                    139,                 1.5492,                0.79534,                0.91242,                0.92703,                0.86146,                0.89321,                0.47365,                 1.7113,                 0.8663,                0.93362,               0.005446,               0.005446,               0.005446
                    140,                 1.5407,                0.76053,                0.92264,                0.95358,                 0.8535,                0.89902,                0.46689,                 1.7387,                0.85956,                 0.9381,               0.005413,               0.005413,               0.005413
                    141,                 1.5295,                0.77917,                0.91888,                0.94482,                0.85476,                0.89241,                0.45847,                 1.7245,                 0.8937,                 0.9334,                0.00538,                0.00538,                0.00538
                    142,                 1.5079,                 0.7555,                 0.9171,                0.91499,                0.88134,                0.90138,                0.46454,                 1.7522,                 0.8602,                 0.9378,               0.005347,               0.005347,               0.005347
                    143,                 1.5475,                0.75149,                0.91393,                0.92291,                0.87137,                0.89686,                0.46782,                 1.7223,                0.88995,                0.93337,               0.005314,               0.005314,               0.005314
                    144,                 1.4933,                0.73836,                  0.912,                0.94488,                0.85746,                0.89867,                 0.4797,                 1.6971,                0.87919,                0.92616,               0.005281,               0.005281,               0.005281
